1;DH_CRIACAO;ID_META;DS_TITULO;DS_BANDEIRA;
2;15/08/2023,;LqXKSR78Kb,;Prouni Lista de Espera 15.08,;UNIASSELVI;
3;17/08/2023;5sI7oDoIGD;feirao_cobranca_17082023;UNIASSELVI;
4;18/08/2023;mrQ31gHusC;D+7 Incentivada 21.08;UNIASSELVI;
5;18/08/2023;LhQIkK6uWb;Inscritos Presencial 18.08.23;UNIASSELVI;
6;21/08/2023;lfGz008bAB;solicitação_avaliação_leo_app;UNIASSELVI;
7;22/08/2023;KPXK6fJCFC;cobranca_feirao_22082023;UNIASSELVI;
8;22/08/2023;1zOLjSmxcj;TÉC/PROF: BASE CURSOS LIVRES;UNIASSELVI;
9;24/08/2023;u20nNFv4v2;Incentivada D+7 28.08;UNIASSELVI;
10;25/08/2023;6UdUSvX0Dj;colacao_e_hoje_ead_25082023;UNIASSELVI;
11;25/08/2023;CJLE0W3SqI;PÓS - FORMADOS 2;UNIASSELVI;
12;25/08/2023;bTgfH040Nt;colacao_e_hoje_hibrido_25082023;UNIASSELVI;
13;25/08/2023;t4Sylnc3Jx;Novo onboarding avaliações 001;UNIASSELVI;
14;25/08/2023;M6FcPo09jq;Rematrícula Tardia - Nova versão 01;UNIASSELVI;
15;25/08/2023;Qc3pejnFQM;Prazo excedido Avaliação - Matrículas;UNIASSELVI;
16;28/08/2023;wnvvTSUjCv;Último dia Prouni 28.08;UNIASSELVI;
17;28/08/2023;NjZHoOtCVM;202308568562_vaga_estagio;UNIASSELVI;
18;28/08/2023;1dWflCFies;202308564756_base_curricularização;UNIASSELVI;
19;29/08/2023;qgxR1WEhZ2;202308572348-financeiro-uniasselvi;UNIASSELVI;
20;29/08/2023;Ex4zKOozEk;Inscritos D+7 29.08;UNIASSELVI;
21;29/08/2023;Pk2Xodg6is;disparo-2-feirão-29082023;UNIASSELVI;
22;31/08/2023;UX7YpT8Mku;Feirão - Alto e medio crédito;UNIASSELVI;
23;01/09/2023;iCBlRgSJ2k;D+3 Incentivada 04.08;UNIASSELVI;
24;04/09/2023;enSssDXyxo;U-COBRANCA-202309586187;UNIASSELVI;
25;04/09/2023;vEwvg3eRUc;Inscritos_Presencial_04.09.23;UNIASSELVI;
26;05/09/2023;DRPHToOWUH;U-COBRANCA-202309591916;UNIASSELVI;
27;05/09/2023;CePcpqMYjE;HSM Pré Inscrito Bot 05.09;UNIASSELVI;
28;06/09/2023;X6GeQCxo0N;Feirão - S/Oferta;UNIASSELVI;
29;06/09/2023;ZshPPFaClV;Feirão Com Oferta;UNIASSELVI;
30;08/09/2023;UjjUQ20NHw;U-msg_captacao_08092023;UNIASSELVI;
31;11/09/2023;15qmtHftX7;Incentivada D3 D10 11.09;UNIASSELVI;
32;11/09/2023;DG3il6AZus;TÉC/PROF CROSS-SELL;UNIASSELVI;
33;12/09/2023;MamLt4Qwpc;U-cobranca-202309610733;UNIASSELVI;
34;13/09/2023;Tnr6CSt5m5;Dia do Agronomo - 13.09.2023;UNIASSELVI;
35;14/09/2023;fAcNuaWAon;U-ENADE-202309592501_1;UNIASSELVI;
36;14/09/2023;Hl6Ds8mfr4;Retenção pós-graduação;UNIASSELVI;
37;15/09/2023;xg7GixiRl6;EGJ - CANCELAMENTO PÓS;UNIASSELVI;
38;15/09/2023;iCrJRcSv6y;WhatsApp Informação SP;UNIASSELVI;
39;15/09/2023;yJgoAeEhvA;WhatsApp Informação SP Oportunidade;UNIASSELVI;
40;15/09/2023;Y1gbdqASF3;WhatsApp Informação SP Lead;UNIASSELVI;
41;16/09/2023;cDtYREARlW;Incentivada D+7 18.08;UNIASSELVI;
42;16/09/2023;fxTPbxOsje;Incentivada Farroupilha D+7 18.08;UNIASSELVI;
43;19/09/2023;BEDrqlA0rK;Winback EAD Grupo 124;UNIASSELVI;
44;19/09/2023;cxYjG9nGl0;Winback EAD Grupo 3;UNIASSELVI;
45;21/09/2023;b7PzbEU8Hb;U-ONBORDING-202309636189;UNIASSELVI;
46;21/09/2023;Jg5YkPUFEQ;U-RELACIONAMENTO-202309636284;UNIASSELVI;
47;21/09/2023;1kixTKFiDu;Semana Farroupilha 25.09 D+3;UNIASSELVI;
48;21/09/2023;63BmzVXzPd;Estágio Remunerado 02;UNIASSELVI;
49;21/09/2023;QjZ3lZAoJK;Estágio Remunerado 1;UNIASSELVI;
50;21/09/2023;eCsruPSeUS;Incentivada D+3 25.09;UNIASSELVI;
51;22/09/2023;xSCJB2jm6I;WhatsApp 60 22.09;UNIASSELVI;
52;22/09/2023;iAZbaI5CQf;BASE MUITO QUENTE - ADI;UNIASSELVI;
53;22/09/2023;IXx6xwehXh;BASE RECOMEÇO;UNIASSELVI;
54;25/09/2023;stQTGCfELp;Rematrícula - INA;UNIASSELVI;
55;26/09/2023;g2zVvgTFUJ;WhatsApp 60 26.09;UNIASSELVI;
56;28/09/2023;EjzcnYW5eC;D+7 Incentivada 30.09;UNIASSELVI;
57;28/09/2023;41ZXsCLJdm;D+7 Incentivada Farroupilha 30.09;UNIASSELVI;
58;28/09/2023;qkg3BqL4GQ;WhatsApp 60 28.09;UNIASSELVI;
59;28/09/2023;IvqKag9fmH;WhatsApp 65 28.09 Parte 01;UNIASSELVI;
60;02/10/2023;7ZTWIiReyQ;ENADE 01;UNIASSELVI;
61;02/10/2023;w7PPXorGMQ;Estágio Remunerado 02 - Fale com a gente;UNIASSELVI;
62;03/10/2023;1YER47J5u8;HSM Bot 03.10;UNIASSELVI;
63;03/10/2023;9IiZ3Nu57w;PÓS - VENCIDOS GERAL;UNIASSELVI;
64;03/10/2023;M4Q7hiJ3hB;Recomeço - (Bem-Vindos);UNIASSELVI;
65;04/10/2023;UISO7SCTz3;Início das Aulas B;UNIASSELVI;
66;04/10/2023;N11I8CrqhA;Início das Aulas A;UNIASSELVI;
67;04/10/2023;KSs4GATrlZ;Aceite de Contrato 1;UNIASSELVI;
68;04/10/2023;DnigwlrMfu;Errata - Recomeço;UNIASSELVI;
69;04/10/2023;Dy9CxYA0s3;PÓS - BOLETOS DO DIA (REFORÇO);UNIASSELVI;
70;04/10/2023;8hJjOqUaDJ;PÓS - VENCIDOS (REFORÇO);UNIASSELVI;
71;05/10/2023;uyhiKdHjlH;Boleto-com-problema;UNIASSELVI;
72;05/10/2023;U0vSyWfnlo;PÓS - VENCIDOS SET/AGO;UNIASSELVI;
73;05/10/2023;YZpVcHyZBD;Incentivada D+11 05.10;UNIASSELVI;
74;05/10/2023;3y0BMfROup;TEC/PROF INSCRITOS -2 (correto);UNIASSELVI;
75;06/10/2023;cTP6qLO9Hv;PRÉ - REFORÇO;UNIASSELVI;
76;06/10/2023;9nx5a8YqCD;PÓS - VENCER 5% MATRÍCULA;UNIASSELVI;
77;06/10/2023;FBx0iTxoOp;PÓS REFORÇO VENCIDOS;UNIASSELVI;
78;06/10/2023;N9iCsBjW4W;TÉC/PROF N CONVERTIDOS INICIO EDITAL;UNIASSELVI;
79;06/10/2023;SvZMKtAWTP;PÓS PRÉ AGOSTO/JULHO;UNIASSELVI;
80;07/10/2023;hP3CwHAEOY;Incentivada D+3 07.10;UNIASSELVI;
81;10/10/2023;gIos0fbBiI;Atendimento Leo App_2;UNIASSELVI;
82;10/10/2023;nKAFKV5iUs;Identificação_avaliação_leo_;UNIASSELVI;
83;10/10/2023;22YgFm4Dt7;Dia do Engenheiro Agrônomo - 12.10;UNIASSELVI;
84;10/10/2023;V7c1yYgejX;FUMDES Alunos - Inscrição Incompleta;UNIASSELVI;
85;10/10/2023;HTxs2IVQJQ;FUMDES Alunos - Inscrição Incompleta 2;UNIASSELVI;
86;10/10/2023;62BqA7FdcF;PÓS - VENCIDOS DIA DAS CRIANÇAS;UNIASSELVI;
87;10/10/2023;gImagnIQSS;PÓS - INDICAÇÃO PREMIADA;UNIASSELVI;
88;10/10/2023;DF9qrll7KH;FUMDES Alunos - Inscrição Completa;UNIASSELVI;
89;10/10/2023;uebq6xqoL1;FUMDES Alunos - Inscrição Completa 2;UNIASSELVI;
90;11/10/2023;tZWWV7GKFA;Semana do Tecnologo 11.10;UNIASSELVI;
91;11/10/2023;YjNFzjLOOp;PÓS - PRÉ INSCRITOS (REFORÇO);UNIASSELVI;
92;11/10/2023;jiTU5i2BRj;D+7 Incentivada 16.10;UNIASSELVI;
93;11/10/2023;pl7ZjzdOvl;Recomeço - Prorrogação;UNIASSELVI;
94;11/10/2023;ml7Y1cJ6yE;Prorrogação Boleto Recomeço;UNIASSELVI;
95;11/10/2023;PhSNBIPE7k;PESQUISA PÓS SETEMBRO;UNIASSELVI;
96;11/10/2023;R7tTrYHTko;PESQUISA TÉCNICO SETEMBRO;UNIASSELVI;
97;11/10/2023;fLHdFbRIVg;PESQUISA PROFISSIONALIZANTE SETEMBRO;UNIASSELVI;
98;11/10/2023;J09gQuPO6v;PESQUISA PÓS SETEMBRO COMPLEMENTO;UNIASSELVI;
99;01/11/2019;Z51uty0Y6J;Mensagem URA Aluno;UNIASSELVI;
100;16/03/2020;cphugcFsk1;Inscrição concluída;UNIASSELVI;
101;16/03/2020;n7i1yS8M7t;Continuar inscrição;UNIASSELVI;
102;16/03/2020;6oNaj0qWBs;Finalizar inscrição;UNIASSELVI;
103;16/03/2020;NpAf3Fadn5;Continuar semipresencial;UNIASSELVI;
104;16/03/2020;r4HJ6OvhSh;Continuar online;UNIASSELVI;
105;16/03/2020;NJbtqQFlDn;Continuar por cliente existente;UNIASSELVI;
106;16/03/2020;f3iW9fQk16;Continuar cliente não existente;UNIASSELVI;
107;16/03/2020;lOJksVwnD4;Continuar ligação recente;UNIASSELVI;
108;16/03/2020;MTI1SxcjYV;Continuar por confirmação;UNIASSELVI;
109;16/03/2020;CPojh5yMOt;Contirnuar por configuração 2;UNIASSELVI;
110;16/03/2020;CmouIKnnar;Continuar por desistÊncia;UNIASSELVI;
111;16/03/2020;uKbsGCQzdk;Parabenizar o estudante;UNIASSELVI;
112;16/03/2020;S2DAuR0Sbg;Instabilidade no AVA;UNIASSELVI;
113;16/03/2020;7lzeJ8onhV;Alteração de endereço;UNIASSELVI;
114;16/03/2020;qUvqOZPTLp;Alteração semepresencial para Flex;UNIASSELVI;
115;16/03/2020;J55A13Fpkq;Alteração de agendamento;UNIASSELVI;
116;16/03/2020;D8vR3XTzjc;Sem aula;UNIASSELVI;
117;16/03/2020;bqfiSH76iN;Confirmação 3;UNIASSELVI;
118;16/03/2020;EHbrDONymf;Ambiente Virtual;UNIASSELVI;
119;16/03/2020;L3zbOV8dd6;Ambiente Virtual 1;UNIASSELVI;
120;16/03/2020;9RcuBsGl8D;Continuar inscrição;UNIASSELVI;
121;16/03/2020;sNGrj5XQt8;Reposição de aulas;UNIASSELVI;
122;16/03/2020;k5dOQqD7K3;Continuar inscrição 2;UNIASSELVI;
123;26/03/2020;645HFivCv7;element_name: continue_from_subscription_5;UNIASSELVI;
124;26/03/2020;2386tUDbaV;element_name: continue_from_subscription_7;UNIASSELVI;
125;30/03/2020;68H55dZB15;continue_from_postgraduate_subscripition;UNIASSELVI;
126;27/04/2020;xEKqyHMwOE;continue_from_livechat5;UNIASSELVI;
127;28/05/2020;TfRsppjReo;uniasselvi_01;UNIASSELVI;
128;02/06/2020;7h79cmXJFv;continue_from_uniasselvi_02;UNIASSELVI;
129;02/06/2020;sQ5wWKRCRv;continue_from_uniasselvi_03;UNIASSELVI;
130;02/06/2020;KIu3Z0R0ly;continue_from_uniasselvi_04;UNIASSELVI;
131;10/08/2020;IVztV3UOYP;uniasselvi_boasvindas;UNIASSELVI;
132;17/12/2020;EMPr1GgHi6;Confirmação de Matrícula - Graduação EAD (Com Boleto);UNIASSELVI;
133;03/02/2021;7VoxCuPFoB;CURSO TÉCNICO (100% DE DESCONTO NA MATRÍCULA):;UNIASSELVI;
134;03/02/2021;WiPgZDCRsw;MATRÍCULADOS COM BOLETO (PMA):;UNIASSELVI;
135;16/03/2021;ObPHmILoCA;Retomar Contato - Inscrito;UNIASSELVI;
136;17/01/2022;5ubMfIUWNu;Importância do processo de Onboarding;UNIASSELVI;
137;17/01/2022;nxZny7hqDc;Aluno não realizou as provas 1 e 2;UNIASSELVI;
138;17/01/2022;eWnZBJ6Zqd;Mudança da data prevista para início das aulas;UNIASSELVI;
139;25/01/2022;YWicdobrSQ;UNIEDU – ABORDAGEM 1;UNIASSELVI;
140;16/02/2022;VgD7yUzaRG;UNIEDU - Inscrição Incompleta;UNIASSELVI;
141;03/03/2022;jiYkoGvWOo;Declarações UNIEDU;UNIASSELVI;
142;11/05/2022;UuIHGvJpjK;Vencidos – Pós;UNIASSELVI;
143;13/05/2022;GS8AtdSfF8;Oferta Especial;UNIASSELVI;
144;05/07/2022;8vf0NvTyfN;Mensagem relacionamento com aluno;UNIASSELVI;
145;02/08/2022;lBWNezSxZy;UNIEDU - Inscrição Incompleta;UNIASSELVI;
146;02/08/2022;0mWZNOmnYv;UNIEDU - Inscrição Incompleta;UNIASSELVI;
147;02/08/2022;u4wiIAMNNz;UNIEDU - Inscrição Incompleta;UNIASSELVI;
148;02/08/2022;7sCPSHBLCx;UNIEDU Renovação incompleta - Pesquisa;UNIASSELVI;
149;02/08/2022;SoxcxXttD9;UNIEDU Renovação incompleta - Pesquisa;UNIASSELVI;
150;02/08/2022;VBftlT5ZNH;UNIEDU Renovação incompleta – Extensão;UNIASSELVI;
151;02/08/2022;pKDhoVQMZZ;UNIEDU Renovação incompleta – Extensão;UNIASSELVI;
152;14/09/2022;A8LbJBgBxd;Piloto – Retenção;UNIASSELVI;
153;23/09/2022;27aWNmA7GZ;Cobrança 1;UNIASSELVI;
154;23/09/2022;r67JNdumrw;Cobrança 2;UNIASSELVI;
155;23/09/2022;0KalATH56f;Cobrança 3;UNIASSELVI;
156;23/09/2022;tohdz1Wc4r;Cobrança 4;UNIASSELVI;
157;28/09/2022;AAX7oprg4z;Cobrança 1 – s/horário;UNIASSELVI;
158;28/09/2022;C5ZUJvsPgU;Cobrança 2 - s/horário;UNIASSELVI;
159;28/09/2022;IiCYl4vRnH;Cobrança 3 - s/horário;UNIASSELVI;
160;28/09/2022;tL1v6iOzeX;Cobrança 4 - s/horário;UNIASSELVI;
161;29/09/2022;KHxWuRiU13;UNIEDU Renovação incompleta - Pesquisa;UNIASSELVI;
162;05/10/2022;T0TqCLHH4j;Ação feirão e rematrícula;UNIASSELVI;
163;18/10/2022;RlyRPqweSI;Rematrícula;UNIASSELVI;
164;28/10/2022;39X2cRq5cz;Enade 2022;UNIASSELVI;
165;28/10/2022;1govaMDGZV;Pedido de cancelamento;UNIASSELVI;
166;18/11/2022;iYaYVDD8Ec;Pós Graduação;UNIASSELVI;
167;23/11/2022;UAzGJ8ssnT;PÓS - BOAS VINDAS 1 – INSCRITOS NOVOS;UNIASSELVI;
168;23/11/2022;BOMesxdXWN;PÓS - LEO APP 1 – INSCRITOS NOVOS;UNIASSELVI;
169;23/11/2022;BuX9l6DEhh;PÓS - AVALIAÇÕES DISPONÍVEIS 1 – INSCRITOS NOVOS;UNIASSELVI;
170;23/11/2022;0CVVYP8HKp;PÓS - LEMBRETE 1 - INSCRITOS NOVOS;UNIASSELVI;
171;23/11/2022;H5b85qUaiz;PÓS - DIFERENCIAIS 1 - INSCRITOS NOVOS;UNIASSELVI;
172;05/12/2022;WCgFXMdqyp;Demandas E-mail do Presidente;UNIASSELVI;
173;06/12/2022;dueL5XKkTU;Avaliação Final;UNIASSELVI;
174;06/12/2022;fKof5es3ZL;Recuperação de Inadimplência;UNIASSELVI;
175;07/12/2022;gDUiTHSfFm;PÓS – INDICAÇÃO PREMIADA (SEM INSCRIÇÃO);UNIASSELVI;
176;07/12/2022;ylDIEdamBx;Financeiro - 1 a 2 anos;UNIASSELVI;
177;07/12/2022;obfPZ0F9If;Financeiro - 31 a 180 dias;UNIASSELVI;
178;09/12/2022;lUCAO5NHSV;Comunicação 1;UNIASSELVI;
179;09/12/2022;xs8rYshcER;Comunicação 2;UNIASSELVI;
180;22/12/2022;WBXrtTse5g;Bolsa de estudos;UNIASSELVI;
181;11/01/2023;a5SbHS6GkT;PÓS TRANCADOS – ENGAJAMENTO;UNIASSELVI;
182;11/01/2023;R56Er93d0L;PÓS CANCELADOS – ENGAJAMENTO;UNIASSELVI;
183;18/01/2023;AfszLrBZTm;INSCRITOS PÓS-GRADUAÇÃO 2;UNIASSELVI;
184;23/01/2023;blOXBXm0TN;INSCRITOS PÓS 3;UNIASSELVI;
185;24/01/2023;dzScfvUEQt;Inscritos Pós (Boleto do dia);UNIASSELVI;
186;24/01/2023;Diiyci4z20;Inscritos Pós (Vencidos);UNIASSELVI;
187;25/01/2023;SBCZmK6mBO;INSCRITOS PÓS 3 (COM BOTÃO);UNIASSELVI;
188;25/01/2023;MYKG059JQ7;PÓS INSCRITOS (COM BOTÃO);UNIASSELVI;
189;25/01/2023;iaEsIemGBO;ACESSO MAT. FREE;UNIASSELVI;
190;26/01/2023;vny99whKG7;INSCRITOS PÓS LÉO APP;UNIASSELVI;
191;02/02/2023;pCW7k7Dv6u;PRÉ INSCRITOS PÓS 1;UNIASSELVI;
192;06/02/2023;SSLAD6QRZz;Inscritos Pós MatFREE;UNIASSELVI;
193;06/02/2023;AyFWyE4bqa;Calouro com nota;UNIASSELVI; SD
194;06/02/2023;uFOwtDshqR;Calouro com nota;UNIASSELVI;
195;06/02/2023;qm7adihBU7;Calouro sem nota;UNIASSELVI;
196;06/02/2023;qhXZJNdBVB;Convite EPs Pré-Projeto Onboarding 1;UNIASSELVI;
197;07/02/2023;m6y1Ey5MQ9;RET - Oferta Especial;UNIASSELVI;
198;08/02/2023;XXtWxhNQ7N;Feirão - Financeiro;UNIASSELVI;
